ActFB	apCAF	CycFB	CytFB	DerFB	DevFB	EpiFB	FCC	FCPC	iCAF	LipFB	MetFB	myoCAF	PapFB	ProFB	UniFB
1414	60	13123	0	43	100	79	56	892	757	0	0	180	1	0	19
1252	41	272	0	24	259	6	1244	1125	2345	0	1	259	0	0	1557
172	49	99	214	10	28	1823	1785	923	5616	54	110	493	6	356	16353
256	510	75	6527	14	18	8	2226	366	1172	6969	3709	4004	120	7480	3010
5	0	0	0	0	0	0	558	133	124	0	0	0	0	0	56
0	0	0	0	0	1	0	39	4	67	0	0	6	0	0	28
22	191	40	418	15	16	0	258	130	3041	870	18	218	6	142	458
0	1	5	0	0	173	0	0	1	24	0	0	6	0	0	2
1110	1878	1492	935	873	198	13	1581	2374	9505	257	205	1138	30	216	10040
10063	4281	2303	994	71	43	72	3158	3758	1020	541	57	743	18	99	799
2	1	25	0	2	47	0	4	21	903	0	0	209	1	4	160
