ActFB	apCAF	CycFB	CytFB	DerFB	DevFB	EpiFB	FCC	FCPC	iCAF	LipFB	MetFB	myoCAF	PapFB	ProFB	UniFB
1414	60	13123	0	43	100	79	56	892	757	0	0	180	1	0	19
151	0	47	0	2	5	0	178	94	74	0	0	23	0	0	21
0	0	3	0	0	221	0	2	10	32	0	0	9	0	0	0
0	0	0	0	0	0	0	0	2	13	0	0	2	0	0	3
418	0	41	0	8	12	3	116	109	178	0	1	71	0	0	98
10520	5033	2547	8153	112	326	1903	8028	5336	11967	8434	3894	5679	151	8081	20866
22	0	0	0	0	1	0	184	450	394	0	0	0	0	0	1176
76	0	58	0	9	2	0	151	129	378	0	0	8	0	0	162
0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0
7	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
569	41	121	0	5	11	3	104	255	120	0	0	66	0	0	27
4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1110	1878	1492	935	873	198	13	1581	2374	9505	257	205	1138	30	216	10040
0	0	0	0	0	1	0	0	0	14	0	0	1	0	0	17
0	0	0	0	0	1	0	0	1	30	0	0	5	0	0	7
5	0	0	0	0	5	0	507	73	1109	0	0	73	0	0	46
