From	To	id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	Pairs	Interactions	Tissue
ActFB	B cells	CPI-SC06C75F978	APOE_TREM2_receptor	simple:P02649	complex:TREM2_receptor	APOE		TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Apolipoprotein	ActFB|B cells	0.079	Placenta
ActFB	B cells	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|B cells	0.733	Fetal_Rib
ActFB	B cells	CPI-SS0DBFB8BEA	CCL2_ACKR1	simple:P13500	simple:Q16570	CCL2	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|B cells	0.063	Uterus
ActFB	B cells	CPI-SS052BBD9F9	CXCL1_ACKR1	simple:P09341	simple:Q16570	CXCL1	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|B cells	0.256	Trachea
ActFB	B cells	CPI-SS09239FB26	CCL19_CCR7	simple:Q99731	simple:P32248	CCL19	CCR7	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|B cells	1.031	Nasopharyngeal
ActFB	B cells	CPI-SS0B20A1B18	GCG_GLP1R	simple:P01275	simple:P43220	GCG	GLP1R	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Pro-glucagon precursor	ActFB|B cells	0.362	Pancreas
ActFB	B cells	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|B cells	0.893	Placenta
ActFB	B cells	CPI-SS0914C7C85	THBS2_CD36	simple:P35442	simple:P16671	THBS2	CD36	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Thrombospondin precursor	ActFB|B cells	0.527	Fetal_Heart
ActFB	B cells	CPI-SC046AFCFE9	CLU_TREM2_receptor	simple:P10909	complex:TREM2_receptor	CLU		TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor		ActFB|B cells	0.527	Placenta
ActFB	B cells	CPI-SS09239FB26	CCL19_CCR7	simple:Q99731	simple:P32248	CCL19	CCR7	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|B cells	1.402	Esophageal
ActFB	B cells	CPI-SS052BBD9F9	CXCL1_ACKR1	simple:P09341	simple:Q16570	CXCL1	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|B cells	0.354	Uterus
ActFB	B cells	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|B cells	0.145	Fetal_Adrenal_Gland
ActFB	B cells	CPI-SS00D1CB372	CD34_SELL	simple:P28906	simple:P14151	CD34	SELL	FALSE	FALSE	FALSE	curated	FALSE	Ligand-Receptor		ActFB|B cells	0.442	Fetal_Pancreas
ActFB	B cells	CPI-SS0DBFB8BEA	CCL2_ACKR1	simple:P13500	simple:Q16570	CCL2	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|B cells	0.572	Artery
ActFB	B cells	CPI-SS034083FFA	SEMA3A_NRP1	simple:Q14563	simple:O14786	SEMA3A	NRP1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Semaphorin	ActFB|B cells	0.101	Heart
ActFB	B cells	CPI-SS007AA9FDE	DLK1_NOTCH3	simple:P80370	simple:Q9UM47	DLK1	NOTCH3	FALSE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Notch	ActFB|B cells	1.979	Fetal_Muscle
ActFB	B cells	CPI-SS0911EECCC	CXCL8_ACKR1	simple:P10145	simple:Q16570	CXCL8	ACKR1	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|B cells	0.227	Uterus
ActFB	B cells	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|B cells	1.258	Uterus
ActFB	B cells	CPI-SS0B1B18F2D	CXCL12_DPP4	simple:P48061	simple:P27487	CXCL12	DPP4	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|B cells	1.161	Adipose
ActFB	B cells	CPI-SS0D0235DCE	SLIT2_ROBO2	simple:O94813	simple:Q9HCK4	SLIT2	ROBO2	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by SLIT and NTRK-like protein	ActFB|B cells	0.344	Fetal_Skin
ActFB	B cells	CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	FALSE	FALSE	FALSE	curated	FALSE	Gap-Gap	Adhesion by GAP junction	ActFB|B cells	0.701	Fetal_Calvaria
ActFB	B cells	CPI-SS0B1B18F2D	CXCL12_DPP4	simple:P48061	simple:P27487	CXCL12	DPP4	TRUE	FALSE	TRUE	curated	FALSE	Ligand-Receptor	Signaling by Chemokines	ActFB|B cells	1.241	Pleura
