ActFB	apCAF	CycFB	CytFB	DerFB	DevFB	EpiFB	FCC	FCPC	iCAF	LipFB	MetFB	myoCAF	PapFB	ProFB	UniFB
ARID5B(+)	0.351435483420559	0	0	0	0	0	0	0	0.220592902125141	0	0.227380631706968	0.182125004480186	0	0	0.241450544349235	0
FOXD4(+)	0.249477003818258	0	0	0	0	0	0	0	0.0354869958247946	0	0	0	0.0161821374489315	0	0	0.00935431127649021
HOXB2(+)	0.280515785829862	0.0183477351808325	0.0221360195943697	0.0503244022107604	0.0692718826570926	0.0306650932094131	0.0342350290392297	0.045380078028552	0.0535520498022312	0.049339859344922	0.0447647997532771	0	0.0442107806096708	0.0903463018277067	0.0514290424489044	0.0234017214403799
MXD4(+)	0.295282880214704	0.0273512932299886	0.0557916912493103	0	0	0	0.0808364622345909	0.102609548693544	0.112813221704963	0	0	0	0	0.0614020092223195	0	0.0318402547542781
RFX4(+)	0.243052855438073	0.0573957262915126	0.0240240417831408	0.0576401191557209	0	0	0	0.0674618250354459	0	0.00864351906262503	0	0	0	0	0	0.0133630415733266
NFIA(+)	0.0923420611966429	0.481736972940972	0	0	0.089650172690706	0	0	0	0.220027923438712	0	0	0	0	0	0.203289610856816	0
PKNOX2(+)	0	0.355394348846615	0	0.0138374653369762	0	0.0391313168819872	0.0832755208500608	0	0	0	0.0865191051373429	0.0411157342941251	0	0.0547739268950384	0	0
RBMS1(+)	0	0.776315454457198	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEAD1(+)	0	0.497794907441251	0	0.245635954112147	0.0652340217581005	0	0	0.0518777111805898	0	0.0181610355687824	0.268964019789426	0.173226163407699	0	0.14120109502338	0.100751181514334	0.0479342715516853
ZBTB16(+)	0	0.350811177681622	0	0	0	0	0	0	0	0	0.13967248566623	0	0	0	0	0
HMGA1(+)	0	0.0370234338957226	0.424215376266631	0.044330143488848	0.210724405168567	0	0	0	0	0.0794402133700965	0	0.0885124333033939	0.037114837812764	0	0.144973272235583	0
MYOG(+)	0.10657060124632	0	0.244319985189724	0	0	0	0	0	0	0	0	0	0	0	0	0
PHOX2B(+)	0	0	0.167185282071439	0	0	0.107345311257526	0	0	0	0	0	0	0	0	0	0
SP9(+)	0	0	0.219550815650078	0	0	0	0	0.0711815058120919	0	0	0	0	0.091238504923901	0	0	0
TCF4(+)	0	0	0.218582773029586	0	0	0.272944505130715	0	0	0.179282186544983	0	0	0.158829431328659	0.106431528831993	0.233760294354057	0.41764652427726	0.128355424964238
GLIS3(+)	0	0	0	0.322573984700313	0	0	0	0	0	0.0185292054027748	0	0	0	0	0	0
HMGB1(+)	0	0	0	0.351385493733828	0	0.620865403660712	0	0	0	0	0.0988212663146775	0	0	0.287978848131703	0	0
POU6F1(+)	0.0347078726765243	0	0.0287292498303258	0.336952413766371	0	0	0	0	0.0690903655360144	0	0	0	0.115404922420635	0	0	0
RUNX1(+)	0	0	0	0.406719571798238	0.0742654989843944	0.157125839156005	0.050298308818249	0.0234384393744352	0	0.017155284160348	0	0	0.125559081160759	0.331994213904845	0.226393094116615	0
TWIST2(+)	0	0	0.010439445770678	0.298363462855549	0	0.0906079827641257	0	0	0	0	0	0.33030311266008	0	0	0	0
ELF3(+)	0.182671556083573	0.0664365678020531	0.0508317038313978	0.0290213376600182	0.706225548907765	0	0.168481569908125	0.0263945281070096	0.178374223081963	0.0585018145861706	0.038709787392431	0.0496033592012299	0.060038736192713	0	0.043783650384775	0.0144701995303777
EPAS1(+)	0	0	0	0	0.554557833898058	0	0.0824306966644558	0.185282560063598	0	0	0	0	0	0	0	0
