CellType	Age	CellType_Age	CellType_nonAge	nonCellType_Age	nonCellType_nonAge	pValue	oddsRatio	event_ratio	logp	format	CellType_Num	Age_Num	logOR	label	Organ
ActFB	Age[20,60)	0	34	184	665	0.000407186632484019	0	0	3.39020648787591		ActFB (34)	Age[20,60) (184)	-7.30479393465039	Adrenal | Age[20,60) (184)	Adrenal
ActFB	Fetal	34	0	665	184	0.000407186632484019	NA	NA	3.39020648787591	***	ActFB (34)	Fetal (699)	7.30479393465039	Adrenal | Fetal (699)	Adrenal
CycFB	Age[20,60)	3	454	181	245	1.41643345787753e-63	0.00894443497943388	3.65078978752403e-05	62.84880382323		CycFB (457)	Age[20,60) (184)	-6.80479393465039	Adrenal | Age[20,60) (184)	Adrenal
CycFB	Fetal	454	3	245	181	1.41643345787753e-63	111.801360544218	0.617687074829932	62.84880382323	***	CycFB (457)	Fetal (699)	6.80479393465039	Adrenal | Fetal (699)	Adrenal
DerFB	Age[20,60)	0	3	184	696	1	0	0	4.82163733276644e-17		DerFB (3)	Age[20,60) (184)	-7.30479393465039	Adrenal | Age[20,60) (184)	Adrenal
DerFB	Fetal	3	0	696	184	1	NA	NA	4.82163733276644e-17		DerFB (3)	Fetal (699)	7.30479393465039	Adrenal | Fetal (699)	Adrenal
DevFB	Age[20,60)	4	5	180	694	0.0960427598254317	3.08444444444444	0.00444444444444444	1.01753536881769		DevFB (9)	Age[20,60) (184)	1.62501066136122	Adrenal | Age[20,60) (184)	Adrenal
DevFB	Fetal	5	4	694	180	0.0960427598254317	0.324207492795389	0.00180115273775216	1.01753536881769		DevFB (9)	Fetal (699)	-1.62501066136122	Adrenal | Fetal (699)	Adrenal
EpiFB	Age[20,60)	0	3	184	696	1	0	0	4.82163733276644e-17		EpiFB (3)	Age[20,60) (184)	-7.30479393465039	Adrenal | Age[20,60) (184)	Adrenal
EpiFB	Fetal	3	0	696	184	1	NA	NA	4.82163733276644e-17		EpiFB (3)	Fetal (699)	7.30479393465039	Adrenal | Fetal (699)	Adrenal
FCC	Age[20,60)	3	0	181	699	0.00893172007536797	NA	NA	2.0490648963964	**	FCC (3)	Age[20,60) (184)	7.30479393465039	Adrenal | Age[20,60) (184)	Adrenal
FCC	Fetal	0	3	699	181	0.00893172007536797	0	0	2.0490648963964		FCC (3)	Fetal (699)	-7.30479393465039	Adrenal | Fetal (699)	Adrenal
FCPC	Age[20,60)	3	38	181	661	0.0290776310428635	0.28831055539401	0.000436173306193661	1.5364409783811		FCPC (41)	Age[20,60) (184)	-1.79430443829794	Adrenal | Age[20,60) (184)	Adrenal
FCPC	Fetal	38	3	661	181	0.0290776310428635	3.46848209783157	0.0191628845184065	1.5364409783811	*	FCPC (41)	Fetal (699)	1.79430443829794	Adrenal | Fetal (699)	Adrenal
iCAF	Age[20,60)	151	144	33	555	5.32978548545686e-54	17.6357323232323	0.0317760942760943	53.2732902702149	***	iCAF (295)	Age[20,60) (184)	4.14042957976178	Adrenal | Age[20,60) (184)	Adrenal
iCAF	Fetal	144	151	555	33	5.32978548545686e-54	0.0567030606765706	0.00171827456595669	53.2732902702149		iCAF (295)	Fetal (699)	-4.14042957976178	Adrenal | Fetal (699)	Adrenal
myoCAF	Age[20,60)	2	17	182	682	0.393315266565959	0.440853264382676	0.000646412411118293	0.405259196085356		myoCAF (19)	Age[20,60) (184)	-1.18162955242486	Adrenal | Age[20,60) (184)	Adrenal
myoCAF	Fetal	17	2	682	182	0.393315266565959	2.2683284457478	0.0124633431085044	0.405259196085356		myoCAF (19)	Fetal (699)	1.18162955242486	Adrenal | Fetal (699)	Adrenal
UniFB	Age[20,60)	18	1	166	698	4.30169791542802e-12	75.6867469879518	0.108433734939759	11.3663600909893	***	UniFB (19)	Age[20,60) (184)	6.24196879630504	Adrenal | Age[20,60) (184)	Adrenal
UniFB	Fetal	1	18	698	166	4.30169791542802e-12	0.0132123527539	7.95924864692773e-05	11.3663600909893		UniFB (19)	Fetal (699)	-6.24196879630504	Adrenal | Fetal (699)	Adrenal
ActFB	Age[60,90)	0	67	19	955	0.628072306087684	0	0	0.201990355741701		ActFB (67)	Age[60,90) (19)	-4.76052755022322	Heart | Age[60,90) (19)	Heart
ActFB	Fetal	67	0	955	19	0.628072306087684	NA	NA	0.201990355741701		ActFB (67)	Fetal (1022)	4.76052755022322	Heart | Fetal (1022)	Heart
apCAF	Age[60,90)	0	3	19	1019	1	0	0	0		apCAF (3)	Age[60,90) (19)	-4.76052755022322	Heart | Age[60,90) (19)	Heart
apCAF	Fetal	3	0	1019	19	1	NA	NA	0		apCAF (3)	Fetal (1022)	4.76052755022322	Heart | Fetal (1022)	Heart
CycFB	Age[60,90)	9	831	10	191	0.00105977602660254	0.206859205776173	0.00108303249097473	2.97478590896963		CycFB (840)	Age[60,90) (19)	-2.27327893217965	Heart | Age[60,90) (19)	Heart
CycFB	Fetal	831	9	191	10	0.00105977602660254	4.83420593368237	0.483420593368237	2.97478590896963	**	CycFB (840)	Fetal (1022)	2.27327893217965	Heart | Fetal (1022)	Heart
DerFB	Age[60,90)	0	1	19	1021	1	0	0	0		DerFB (1)	Age[60,90) (19)	-4.76052755022322	Heart | Age[60,90) (19)	Heart
DerFB	Fetal	1	0	1021	19	1	NA	NA	0		DerFB (1)	Fetal (1022)	4.76052755022322	Heart | Fetal (1022)	Heart
DevFB	Age[60,90)	0	16	19	1006	1	0	0	4.82163733276644e-17		DevFB (16)	Age[60,90) (19)	-4.76052755022322	Heart | Age[60,90) (19)	Heart
DevFB	Fetal	16	0	1006	19	1	NA	NA	4.82163733276644e-17		DevFB (16)	Fetal (1022)	4.76052755022322	Heart | Fetal (1022)	Heart
EpiFB	Age[60,90)	0	3	19	1019	1	0	0	0		EpiFB (3)	Age[60,90) (19)	-4.76052755022322	Heart | Age[60,90) (19)	Heart
EpiFB	Fetal	3	0	1019	19	1	NA	NA	0		EpiFB (3)	Fetal (1022)	4.76052755022322	Heart | Fetal (1022)	Heart
FCPC	Age[60,90)	0	5	19	1017	1	0	0	0		FCPC (5)	Age[60,90) (19)	-4.76052755022322	Heart | Age[60,90) (19)	Heart
FCPC	Fetal	5	0	1017	19	1	NA	NA	0		FCPC (5)	Fetal (1022)	4.76052755022322	Heart | Fetal (1022)	Heart
iCAF	Age[60,90)	0	40	19	982	1	0	0	0		iCAF (40)	Age[60,90) (19)	-4.76052755022322	Heart | Age[60,90) (19)	Heart
iCAF	Fetal	40	0	982	19	1	NA	NA	0		iCAF (40)	Fetal (1022)	4.76052755022322	Heart | Fetal (1022)	Heart
myoCAF	Age[60,90)	10	56	9	966	3.1304489479672e-08	19.1666666666667	0.0198412698412698	7.50439337438866	***	myoCAF (66)	Age[60,90) (19)	4.26052755022322	Heart | Age[60,90) (19)	Heart
myoCAF	Fetal	56	10	966	9	3.1304489479672e-08	0.0521739130434783	0.00579710144927536	7.50439337438866		myoCAF (66)	Fetal (1022)	-4.26052755022322	Heart | Fetal (1022)	Heart
ActFB	Age[20,60)	328	103	991	2014	4.82769328977113e-65	6.47176040676771	0.00321338649789856	64.3162603290451	***	ActFB (431)	Age[20,60) (1319)	2.69415819825516	Intestine | Age[20,60) (1319)	Intestine
ActFB	Age[60,90)	98	333	1852	1153	3.45743503613846e-53	0.183218856005033	0.000158906206422405	52.4612459713666		ActFB (431)	Age[60,90) (1950)	-2.44836010856452	Intestine | Age[60,90) (1950)	Intestine
ActFB	Fetal	5	426	162	2843	1.97496443098544e-05	0.205978670376166	7.24511679128268e-05	4.70444072158985		ActFB (431)	Fetal (167)	-2.27943314454557	Intestine | Fetal (167)	Intestine
apCAF	Age[20,60)	7	3	1312	2114	0.0513024200435046	3.75965447154472	0.00177845528455285	1.28986214781703		apCAF (10)	Age[20,60) (1319)	1.91060007810105	Intestine | Age[20,60) (1319)	Intestine
apCAF	Age[60,90)	2	8	1948	1478	0.024253655746157	0.189681724845996	0.000128336755646817	1.61522279105253		apCAF (10)	Age[60,90) (1950)	-2.39834740793619	Intestine | Age[60,90) (1950)	Intestine
apCAF	Fetal	1	9	166	3260	0.392807305726951	2.18206157965194	0.000669344042838019	0.405820443473184		apCAF (10)	Fetal (167)	1.1256918163292	Intestine | Fetal (167)	Intestine
CycFB	Age[20,60)	14	248	1305	1869	5.83326613731886e-38	0.0808490915832406	4.32579409220121e-05	37.2340882088379		CycFB (262)	Age[20,60) (1319)	-3.62862462604136	Intestine | Age[20,60) (1319)	Intestine
CycFB	Age[60,90)	130	132	1820	1354	0.0163552802547819	0.732683982683983	0.000541125541125541	1.78634200965196		CycFB (262)	Age[60,90) (1950)	-0.448737017841061	Intestine | Age[60,90) (1950)	Intestine
CycFB	Fetal	118	144	49	3125	1.2067610205608e-103	52.2604875283447	0.0167233560090703	102.918378726363	***	CycFB (262)	Fetal (167)	5.70764867824113	Intestine | Fetal (167)	Intestine
CytFB	Age[20,60)	20	13	1299	2104	0.0110612662044813	2.49185764197312	0.00118434298572867	1.95619515565848	*	CytFB (33)	Age[20,60) (1319)	1.31722165059069	Intestine | Age[20,60) (1319)	Intestine
CytFB	Age[60,90)	13	20	1937	1466	0.0516773761018424	0.491946308724832	0.000335570469798658	1.28669954558225		CytFB (33)	Age[60,90) (1950)	-1.02342722721571	Intestine | Age[60,90) (1950)	Intestine
CytFB	Fetal	0	33	167	3236	0.406080291034801	0	0	0.391388088329571		CytFB (33)	Fetal (167)	-4.12862462604136	Intestine | Fetal (167)	Intestine
DerFB	Age[20,60)	5	18	1314	2099	0.131437016030411	0.443725689159479	0.000211398613225097	0.881282309100057		DerFB (23)	Age[20,60) (1319)	-1.17226001558513	Intestine | Age[20,60) (1319)	Intestine
DerFB	Age[60,90)	16	7	1934	1479	0.291230996074727	1.74796868075048	0.00118185847244792	0.535762404400789		DerFB (23)	Age[60,90) (1950)	0.805679335564622	Intestine | Age[60,90) (1950)	Intestine
DerFB	Fetal	2	21	165	3248	0.308613260261366	1.87474747474747	0.000577200577200577	0.510585417434837		DerFB (23)	Fetal (167)	0.9066962801606	Intestine | Fetal (167)	Intestine
DevFB	Age[20,60)	8	79	1311	2038	8.41288408462296e-10	0.157421622300109	7.72431905299848e-05	9.07505509488986		DevFB (87)	Age[20,60) (1319)	-2.66729438223304	Intestine | Age[20,60) (1319)	Intestine
DevFB	Age[60,90)	77	10	1873	1476	9.76996390702695e-11	6.06791243993593	0.00411105178857448	10.0101070406833	***	DevFB (87)	Age[60,90) (1950)	2.60120026762489	Intestine | Age[60,90) (1950)	Intestine
DevFB	Fetal	2	85	165	3184	0.442162258476012	0.454046345811052	0.000142602495543672	0.354418330131626		DevFB (87)	Fetal (167)	-1.13908852983987	Intestine | Fetal (167)	Intestine
EpiFB	Age[20,60)	2	1	1317	2116	0.562656794005966	3.21336370539104	0.00151860288534548	0.249756432713818		EpiFB (3)	Age[20,60) (1319)	1.68408428185751	Intestine | Age[20,60) (1319)	Intestine
EpiFB	Age[60,90)	1	2	1949	1484	0.581971080818942	0.380708055413032	0.00025654181631606	0.235098595681383		EpiFB (3)	Age[60,90) (1950)	-1.39324299863709	Intestine | Age[60,90) (1950)	Intestine
EpiFB	Fetal	0	3	167	3266	1	0	0	0		EpiFB (3)	Fetal (167)	-4.12862462604136	Intestine | Fetal (167)	Intestine
FCC	Age[20,60)	99	64	1220	2053	4.32209745320229e-09	2.60306096311475	0.00126793032786885	8.36430544501621	***	FCC (163)	Age[20,60) (1319)	1.38020909973796	Intestine | Age[20,60) (1319)	Intestine
FCC	Age[60,90)	64	99	1886	1387	4.84613752327945e-06	0.475422303630151	0.000342770226121234	5.31460426565168		FCC (163)	Age[60,90) (1950)	-1.0727185084311	Intestine | Age[60,90) (1950)	Intestine
FCC	Fetal	0	163	167	3106	0.00050768301386806	0	0	3.29440736704011		FCC (163)	Fetal (167)	-4.12862462604136	Intestine | Fetal (167)	Intestine
FCPC	Age[20,60)	56	180	1263	1937	1.01048369845514e-06	0.47713556787191	0.000246327087182194	5.99547068831205		FCPC (236)	Age[20,60) (1319)	-1.06752885945637	Intestine | Age[20,60) (1319)	Intestine
FCPC	Age[60,90)	178	58	1772	1428	8.98181486216033e-10	2.47318440102748	0.00173192184945902	9.0466359010848	***	FCPC (236)	Age[60,90) (1950)	1.30636981131291	Intestine | Age[60,90) (1950)	Intestine
FCPC	Fetal	2	234	165	3035	0.000834804766858122	0.157213157213157	5.18000518000518e-05	3.07841507971407		FCPC (236)	Fetal (167)	-2.66920613268618	Intestine | Fetal (167)	Intestine
iCAF	Age[20,60)	420	576	899	1541	0.00374481309381262	1.24988413051539	0.000811086392287727	2.42656985335876	**	iCAF (996)	Age[20,60) (1319)	0.321794357224148	Intestine | Age[20,60) (1319)	Intestine
