CellType	Trait	Intersection_count	p_value	Label	Log10_Pvalue
FCPC	ADHD	46	1		0
myoCAF	ADHD	51	1		0
ActFB	ADHD	49	1		0
FCC	ADHD	46	1		0
iCAF	ADHD	47	1		0
UniFB	ADHD	48	1		0
CycFB	ADHD	52	1		0
DerFB	ADHD	46	1		0
DevFB	ADHD	54	1		0
apCAF	ADHD	66	0.0937037206141259		1.02824316460737
MetFB	ADHD	50	1		0
EpiFB	ADHD	47	1		0
CytFB	ADHD	59	0.583659458551522		0.233840472081041
PapFB	ADHD	57	0.583659458551522		0.233840472081041
ProFB	ADHD	52	1		0
LipFB	ADHD	57	0.583659458551522		0.233840472081041
FCPC	AD	48	1		0
myoCAF	AD	48	1		0
ActFB	AD	49	1		0
FCC	AD	51	1		0
iCAF	AD	49	1		0
UniFB	AD	49	1		0
CycFB	AD	54	1		0
DerFB	AD	43	1		0
DevFB	AD	47	1		0
apCAF	AD	47	1		0
MetFB	AD	48	1		0
EpiFB	AD	39	1		0
CytFB	AD	46	1		0
PapFB	AD	45	1		0
ProFB	AD	42	1		0
LipFB	AD	42	1		0
FCPC	AF	45	0.878622323180772		0.0561977667990524
myoCAF	AF	57	0.389106305701015		0.409931731136722
ActFB	AF	54	0.639563780427109		0.194116139056575
FCC	AF	48	0.878622323180772		0.0561977667990524
iCAF	AF	51	0.878622323180772		0.0561977667990524
UniFB	AF	49	0.878622323180772		0.0561977667990524
CycFB	AF	49	0.878622323180772		0.0561977667990524
DerFB	AF	50	0.878622323180772		0.0561977667990524
DevFB	AF	48	0.878622323180772		0.0561977667990524
apCAF	AF	82	1.85177804809266e-05	82	4.73241106855318
MetFB	AF	55	0.573605985063667		0.241386325843457
EpiFB	AF	48	0.878622323180772		0.0561977667990524
CytFB	AF	68	0.0220837153031743	68	1.65592786029378
PapFB	AF	63	0.085956452030277		1.06572151890736
ProFB	AF	64	0.0757166358979972		1.12080869005151
LipFB	AF	62	0.102045569240089		0.991205847355108
FCPC	BP	42	0.936106055923851		0.02867494517936
myoCAF	BP	48	1		0
ActFB	BP	43	0.936106055923851		0.02867494517936
