Trait	CellType	mcz	mcp
AD	ActFB	4.394459	0.001998002
AD	apCAF	4.3970423	0.002997003
AD	CycFB	2.679688	0.013986014
AD	CytFB	3.9186614	0.006993007
AD	DerFB	2.2047176	0.018981019
AD	DevFB	1.4598217	0.075924076
AD	EpiFB	2.1179402	0.024975024
AD	FCC	4.0679812	0.003996004
AD	FCPC	4.8044257	0.000999001
AD	iCAF	6.121822	0.000999001
AD	LipFB	2.6162846	0.014985015
AD	MetFB	2.5738468	0.008991009
AD	myoCAF	3.8668838	0.004995005
AD	PapFB	-0.3503258	0.6593407
AD	ProFB	1.2606429	0.0989011
AD	UniFB	3.100102	0.00999001
ADHD	ActFB	-0.6059327	0.7012987
ADHD	apCAF	6.203546	0.000999001
ADHD	CycFB	0.44467452	0.2847153
ADHD	CytFB	4.825361	0.002997003
ADHD	DerFB	-0.5489305	0.7262737
ADHD	DevFB	-0.07468791	0.5134865
ADHD	EpiFB	1.0190965	0.13686314
ADHD	FCC	-1.4073987	0.9440559
ADHD	FCPC	-2.072417	0.987013
ADHD	iCAF	0.7352956	0.2117882
ADHD	LipFB	2.8206441	0.010989011
ADHD	MetFB	0.39991626	0.3116883
ADHD	myoCAF	1.5621654	0.07692308
ADHD	PapFB	2.954631	0.000999001
ADHD	ProFB	1.6140277	0.06993007
ADHD	UniFB	0.90427554	0.15484515
AF	ActFB	4.4385147	0.001998002
AF	apCAF	8.991577	0.000999001
AF	CycFB	5.289432	0.000999001
AF	CytFB	14.390057	0.000999001
AF	DerFB	1.8432336	0.037962038
AF	DevFB	1.8521659	0.044955045
AF	EpiFB	4.946009	0.000999001
AF	FCC	2.7914429	0.016983017
AF	FCPC	2.1499357	0.022977022
AF	iCAF	2.9812522	0.016983017
AF	LipFB	12.120389	0.000999001
AF	MetFB	5.6390944	0.000999001
AF	myoCAF	8.482334	0.000999001
AF	PapFB	1.8804607	0.022977022
AF	ProFB	8.320325	0.000999001
AF	UniFB	4.2578063	0.003996004
AIT	ActFB	1.9126743	0.04895105
AIT	apCAF	-0.41647822	0.6053946
AIT	CycFB	2.4489398	0.023976024
AIT	CytFB	2.7523859	0.01998002
AIT	DerFB	1.0642186	0.14585415
AIT	DevFB	0.83758754	0.1988012
AIT	EpiFB	1.6906903	0.05294705
AIT	FCC	3.617313	0.003996004
AIT	FCPC	3.1103592	0.003996004
AIT	iCAF	1.231976	0.10489511
AIT	LipFB	2.3880422	0.018981019
AIT	MetFB	2.5945244	0.010989011
AIT	myoCAF	2.7028809	0.01998002
AIT	PapFB	-0.11880697	0.5674326
AIT	ProFB	-1.1309173	0.8851149
AIT	UniFB	0.6077955	0.23776224
ALP	ActFB	1.6571877	0.062937066
ALP	apCAF	3.0293903	0.016983017
ALP	CycFB	6.134582	0.000999001
ALP	CytFB	3.937715	0.003996004
ALP	DerFB	0.1986231	0.38161838
ALP	DevFB	1.3115232	0.08891109
ALP	EpiFB	2.8627687	0.008991009
ALP	FCC	3.8498392	0.002997003
ALP	FCPC	4.81193	0.001998002
ALP	iCAF	8.639567	0.000999001
ALP	LipFB	4.4785914	0.001998002
ALP	MetFB	2.4246302	0.016983017
ALP	myoCAF	5.4742665	0.000999001
ALP	PapFB	-0.78841466	0.7872128
ALP	ProFB	1.8326383	0.044955045
ALP	UniFB	7.6165094	0.000999001
ALT	ActFB	1.3866924	0.09290709
ALT	apCAF	2.0584004	0.03996004
ALT	CycFB	5.761287	0.001998002
ALT	CytFB	2.9827416	0.018981019
ALT	DerFB	2.3965855	0.013986014
ALT	DevFB	-0.14638433	0.5424575
ALT	EpiFB	3.090672	0.006993007
