CellType,Organ,CellNum
ActFB,Adipose,14
apCAF,Adipose,138
CycFB,Adipose,36
CytFB,Adipose,541
DerFB,Adipose,23
DevFB,Adipose,0
EpiFB,Adipose,4
FCC,Adipose,50
FCPC,Adipose,16
iCAF,Adipose,1959
LipFB,Adipose,5323
MetFB,Adipose,130
myoCAF,Adipose,3196
PapFB,Adipose,5
ProFB,Adipose,0
UniFB,Adipose,3804
ActFB,AdrenalGland,0
apCAF,AdrenalGland,3
CycFB,AdrenalGland,0
CytFB,AdrenalGland,0
DerFB,AdrenalGland,0
DevFB,AdrenalGland,0
EpiFB,AdrenalGland,0
FCC,AdrenalGland,5
FCPC,AdrenalGland,1
iCAF,AdrenalGland,75
LipFB,AdrenalGland,0
MetFB,AdrenalGland,0
myoCAF,AdrenalGland,23
PapFB,AdrenalGland,0
ProFB,AdrenalGland,0
UniFB,AdrenalGland,49
ActFB,Artery,3
apCAF,Artery,388
CycFB,Artery,0
CytFB,Artery,116
DerFB,Artery,7
DevFB,Artery,0
EpiFB,Artery,9
FCC,Artery,303
FCPC,Artery,36
iCAF,Artery,2383
LipFB,Artery,16
MetFB,Artery,56
myoCAF,Artery,1443
PapFB,Artery,0
ProFB,Artery,0
UniFB,Artery,128
ActFB,Bladder,67
apCAF,Bladder,100
CycFB,Bladder,137
CytFB,Bladder,806
DerFB,Bladder,240
DevFB,Bladder,34
EpiFB,Bladder,6
FCC,Bladder,3090
FCPC,Bladder,719
iCAF,Bladder,1144
LipFB,Bladder,127
MetFB,Bladder,34
myoCAF,Bladder,601
PapFB,Bladder,0
ProFB,Bladder,0
UniFB,Bladder,3756
ActFB,Bone_Marrow,2
apCAF,Bone_Marrow,0
CycFB,Bone_Marrow,0
CytFB,Bone_Marrow,0
DerFB,Bone_Marrow,0
DevFB,Bone_Marrow,0
EpiFB,Bone_Marrow,0
FCC,Bone_Marrow,0
FCPC,Bone_Marrow,0
iCAF,Bone_Marrow,0
LipFB,Bone_Marrow,13
MetFB,Bone_Marrow,0
myoCAF,Bone_Marrow,1
PapFB,Bone_Marrow,0
ProFB,Bone_Marrow,0
UniFB,Bone_Marrow,2
ActFB,Cerebellum,0
apCAF,Cerebellum,4
CycFB,Cerebellum,0
CytFB,Cerebellum,0
DerFB,Cerebellum,0
DevFB,Cerebellum,0
EpiFB,Cerebellum,0
FCC,Cerebellum,0
FCPC,Cerebellum,1
iCAF,Cerebellum,3
LipFB,Cerebellum,0
MetFB,Cerebellum,0
myoCAF,Cerebellum,1
PapFB,Cerebellum,0
ProFB,Cerebellum,0
UniFB,Cerebellum,0
ActFB,Cervix,0
apCAF,Cervix,0
CycFB,Cervix,0
CytFB,Cervix,0
DerFB,Cervix,2
DevFB,Cervix,0
EpiFB,Cervix,0
FCC,Cervix,0
FCPC,Cervix,0
iCAF,Cervix,7
LipFB,Cervix,0
MetFB,Cervix,0
myoCAF,Cervix,0
PapFB,Cervix,0
ProFB,Cervix,0
UniFB,Cervix,461
ActFB,ChorionicVillus,2
apCAF,ChorionicVillus,6
CycFB,ChorionicVillus,0
CytFB,ChorionicVillus,0
DerFB,ChorionicVillus,1
DevFB,ChorionicVillus,0
EpiFB,ChorionicVillus,0
FCC,ChorionicVillus,0
FCPC,ChorionicVillus,0
iCAF,ChorionicVillus,0
LipFB,ChorionicVillus,0
MetFB,ChorionicVillus,0
myoCAF,ChorionicVillus,0
PapFB,ChorionicVillus,0
ProFB,ChorionicVillus,0
UniFB,ChorionicVillus,0
ActFB,Common.bile.duct,0
apCAF,Common.bile.duct,1
CycFB,Common.bile.duct,3
CytFB,Common.bile.duct,0
DerFB,Common.bile.duct,0
DevFB,Common.bile.duct,1
EpiFB,Common.bile.duct,1
FCC,Common.bile.duct,0
FCPC,Common.bile.duct,10
