Var1,Var2,Freq,per
Adipose,ActFB,14,8.61E-05
Artery,ActFB,3,1.85E-05
Bladder,ActFB,67,0.000412272
Bone_Marrow,ActFB,2,1.23E-05
ChorionicVillus,ActFB,2,1.23E-05
Esophageal,ActFB,5,3.08E-05
Eye,ActFB,36,0.000221519
FetalAdrenalGland,ActFB,1,6.15E-06
FetalBrain,ActFB,18,0.00011076
FetalCalvaria,ActFB,357,0.002196734
FetalHeart,ActFB,16,9.85E-05
FetalIntestine,ActFB,14,8.61E-05
FetalKidney,ActFB,43,0.000264593
FetalLung,ActFB,18,0.00011076
FetalMaleGonad,ActFB,3,1.85E-05
FetalMuscle,ActFB,181,0.00111375
FetalPancreas,ActFB,190,0.00116913
FetalRib,ActFB,15,9.23E-05
FetalSkin,ActFB,143,0.000879924
FetalSpinalCord,ActFB,10,6.15E-05
FetalStomach,ActFB,60,0.000369199
Gallbladder,ActFB,3,1.85E-05
Heart,ActFB,2,1.23E-05
Intestinal,ActFB,9,5.54E-05
Liver,ActFB,4,2.46E-05
Lung,ActFB,10811,0.0665235
Lymph_Node,ActFB,1,6.15E-06
Mammary,ActFB,9,5.54E-05
Muscle,ActFB,36,0.000221519
Omentum,ActFB,2,1.23E-05
Pancreas,ActFB,41,0.000252286
Placenta,ActFB,48,0.000295359
Pleura,ActFB,11,6.77E-05
Prostate,ActFB,1,6.15E-06
Salivary_Gland,ActFB,181,0.00111375
Skin,ActFB,5,3.08E-05
Spleen,ActFB,5,3.08E-05
Stomach,ActFB,1,6.15E-06
Thymus,ActFB,126,0.000775318
Tongue,ActFB,60,0.000369199
Trachea,ActFB,229,0.001409109
Uterus,ActFB,14,8.61E-05
Vasculature,ActFB,49,0.000301512
Adipose,apCAF,138,0.000849158
AdrenalGland,apCAF,3,1.85E-05
Artery,apCAF,388,0.002387487
Bladder,apCAF,100,0.000615332
Cerebellum,apCAF,4,2.46E-05
ChorionicVillus,apCAF,6,3.69E-05
Common.bile.duct,apCAF,1,6.15E-06
Esophageal,apCAF,23,0.000141526
Eye,apCAF,1,6.15E-06
Fallopiantube,apCAF,18,0.00011076
FetalAdrenalGland,apCAF,3,1.85E-05
FetalBrain,apCAF,3,1.85E-05
FetalCalvaria,apCAF,8,4.92E-05
FetalHeart,apCAF,2,1.23E-05
FetalIntestine,apCAF,8,4.92E-05
FetalKidney,apCAF,2,1.23E-05
FetalLung,apCAF,2,1.23E-05
FetalMuscle,apCAF,12,7.38E-05
FetalPancreas,apCAF,9,5.54E-05
FetalRib,apCAF,1,6.15E-06
FetalSkin,apCAF,9,5.54E-05
FetalSpinalCord,apCAF,9,5.54E-05
FetalStomach,apCAF,17,0.000104606
Gallbladder,apCAF,138,0.000849158
Heart,apCAF,54,0.000332279
Intestinal,apCAF,27,0.00016614
Liver,apCAF,2,1.23E-05
Lung,apCAF,176,0.001082984
Muscle,apCAF,21,0.00012922
Nasopharymgeal,apCAF,3,1.85E-05
Omentum,apCAF,93,0.000572258
Pancreas,apCAF,1,6.15E-06
Placenta,apCAF,606,0.00372891
Pleura,apCAF,1348,0.00829467
Rectum,apCAF,9,5.54E-05
Salivary_Gland,apCAF,14,8.61E-05
Skin,apCAF,2,1.23E-05
Stomach,apCAF,56,0.000344586
Thymus,apCAF,9,5.54E-05
Thyroid,apCAF,1,6.15E-06
Trachea,apCAF,27,0.00016614
Ureter,apCAF,1,6.15E-06
Uterus,apCAF,2,1.23E-05
Adipose,CycFB,36,0.000221519
Bladder,CycFB,137,0.000843004
Common.bile.duct,CycFB,3,1.85E-05
Esophageal,CycFB,86,0.000529185
Eye,CycFB,21,0.00012922
FetalAdrenalGland,CycFB,632,0.003888896
FetalBrain,CycFB,165,0.001015297
FetalCalvaria,CycFB,1872,0.011519008
FetalEyes,CycFB,102,0.000627638
FetalFemaleGonad,CycFB,98,0.000603025
FetalHeart,CycFB,864,0.005316465
FetalIntestine,CycFB,134,0.000824544
FetalKidney,CycFB,254,0.001562942
FetalLung,CycFB,69,0.000424579
FetalMaleGonad,CycFB,369,0.002270574
FetalMuscle,CycFB,7412,0.045608378
FetalPancreas,CycFB,973,0.005987176
FetalRib,CycFB,94,0.000578412
FetalSkin,CycFB,871,0.005359538
FetalSpinalCord,CycFB,34,0.000209213
FetalStomach,CycFB,788,0.004848813
FetalThymus,CycFB,1,6.15E-06
Gallbladder,CycFB,4,2.46E-05
Heart,CycFB,45,0.000276899
Intestinal,CycFB,65,0.000399966
Lung,CycFB,4282,0.026348499
Mammary,CycFB,14,8.61E-05
Muscle,CycFB,106,0.000652251
Nasopharymgeal,CycFB,1,6.15E-06
Omentum,CycFB,9,5.54E-05
Pancreas,CycFB,3,1.85E-05
Placenta,CycFB,120,0.000738398
