AgeGroup,Differentiation,Stemness
"Age[20,60)",0.1105381,0.065661329
"Age[20,60)",0.122035493,0.085799981
"Age[20,60)",0.115100738,0.061222778
"Age[20,60)",0.06493038,0.042693266
"Age[20,60)",0.089131599,0.049036131
"Age[20,60)",0.103355491,0.08323713
"Age[20,60)",0.079722488,0.048942083
"Age[20,60)",0.097518741,0.057027791
"Age[20,60)",0.0634155,0.053675254
"Age[20,60)",0.076934482,0.030380319
"Age[20,60)",0.120491661,0.061398817
"Age[20,60)",0.127716478,0.088371445
"Age[20,60)",0.120398054,0.071074025
"Age[20,60)",0.106962641,0.071792916
"Age[20,60)",0.104309691,0.064952289
"Age[20,60)",0.084439389,0.016686559
"Age[20,60)",0.090456642,0.038304407
"Age[20,60)",0.095538875,0.057348827
"Age[20,60)",0.091733382,0.075800032
"Age[20,60)",0.112434457,0.059093376
"Age[20,60)",0.12717542,0.090645098
"Age[20,60)",0.116993841,0.081765745
"Age[20,60)",0.096091964,0.025256053
"Age[20,60)",0.065652322,0.039904022
"Age[20,60)",0.09922258,0.044608101
"Age[20,60)",0.090093948,0.058389716
"Age[20,60)",0.098647572,0.053598564
"Age[20,60)",0.124086052,0.039921145
"Age[20,60)",0.098639183,0.062246699
"Age[20,60)",0.106280816,0.055748989
"Age[20,60)",0.10972701,0.063110314
"Age[20,60)",0.11432759,0.053557763
"Age[20,60)",0.126169259,0.057063961
"Age[20,60)",0.083933689,0.024087378
"Age[20,60)",0.09763262,0.044285309
"Age[20,60)",0.1159629,0.070357611
"Age[20,60)",0.104782103,0.065651451
"Age[20,60)",0.111563075,0.079535322
"Age[20,60)",0.086148773,0.061529304
"Age[20,60)",0.098554361,0.08757483
"Age[20,60)",0.108561383,0.046488873
"Age[20,60)",0.135530253,0.042092011
"Age[20,60)",0.119309439,0.056433025
"Age[20,60)",0.109206416,0.073210919
"Age[20,60)",0.13379541,0.073908005
"Age[20,60)",0.117824096,0.074239669
"Age[20,60)",0.111608835,0.056786325
"Age[20,60)",0.08614398,0.042457023
"Age[20,60)",0.110062232,0.051785341
"Age[20,60)",0.098347154,0.040382368
"Age[20,60)",0.079440698,0.061251827
"Age[20,60)",0.070961106,0.032745258
"Age[20,60)",0.10831802,0.068956833
"Age[20,60)",0.06939805,0.064328455
"Age[20,60)",0.086097462,0.046943336
"Age[20,60)",0.089759906,0.060107948
"Age[20,60)",0.117227445,0.068442997
"Age[20,60)",0.072639113,0.023519931
"Age[20,60)",0.110858671,0.037349713
"Age[20,60)",0.095202606,0.076676319
"Age[20,60)",0.062412396,0.042592467
"Age[20,60)",0.096493939,0.06615289
"Age[20,60)",0.086427743,0.069887265
"Age[20,60)",0.106479233,0.067707168
"Age[20,60)",0.048597785,0.009672366
"Age[20,60)",0.055512563,0.024568995
"Age[20,60)",0.095439072,0.073350352
"Age[20,60)",0.131698073,0.061333237
"Age[20,60)",0.083702392,0.066136454
"Age[20,60)",0.103218289,0.052814075
"Age[20,60)",0.088959149,0.03995089
"Age[20,60)",0.117918069,0.074751729
"Age[20,60)",0.081504506,0.065789638
"Age[20,60)",0.12382181,0.066114889
"Age[20,60)",0.08784357,0.05802633
"Age[20,60)",0.071408233,0.061736581
"Age[20,60)",0.099524417,0.079725771
"Age[20,60)",0.085521595,0.036843137
"Age[20,60)",0.093850689,0.046293167
"Age[20,60)",0.105155579,0.08647125
"Age[20,60)",0.098946557,0.089061925
"Age[20,60)",0.140971844,0.08476879
"Age[20,60)",0.135127352,0.09878249
"Age[20,60)",0.110712904,0.079424944
"Age[20,60)",0.139889036,0.090207941
"Age[20,60)",0.116875859,0.076931368
"Age[20,60)",0.145421057,0.108389274
"Age[20,60)",0.117621881,0.073653822
"Age[20,60)",0.115538817,0.079611732
"Age[20,60)",0.109828134,0.067866344
"Age[20,60)",0.149359532,0.078639906
"Age[20,60)",0.119349036,0.083588391
"Age[20,60)",0.13065799,0.085482244
"Age[20,60)",0.090022084,0.058490883
"Age[20,60)",0.080576292,0.055514413
"Age[20,60)",0.121221772,0.082806164
"Age[20,60)",0.133686731,0.068467527
"Age[20,60)",0.115516982,0.069606194
"Age[20,60)",0.143408882,0.076714554
"Age[20,60)",0.106107018,0.072319933
"Age[20,60)",0.145858496,0.093592495
"Age[20,60)",0.107388737,0.076697967
"Age[20,60)",0.135387885,0.062346989
"Age[20,60)",0.13164631,0.073446933
"Age[20,60)",0.138770889,0.08161686
"Age[20,60)",0.162812036,0.093488249
"Age[20,60)",0.113867534,0.066426931
"Age[20,60)",0.14579186,0.089242658
"Age[20,60)",0.132038345,0.068875298
"Age[20,60)",0.146875432,0.085358905
"Age[20,60)",0.13404541,0.080232408
"Age[20,60)",0.140755624,0.077455503
"Age[20,60)",0.112020353,0.061547526
"Age[20,60)",0.112781823,0.065380405
"Age[20,60)",0.128692054,0.088306597
"Age[20,60)",0.102885541,0.078290571
"Age[20,60)",0.127889461,0.077609553
"Age[20,60)",0.107499236,0.067392643
"Age[20,60)",0.138072811,0.089523701
"Age[20,60)",0.123973136,0.068392199
"Age[20,60)",0.124885935,0.080528016
"Age[20,60)",0.13014591,0.09230596
"Age[20,60)",0.116341739,0.073005188
"Age[20,60)",0.138942822,0.07989703
"Age[20,60)",0.136960613,0.094822103
"Age[20,60)",0.125517342,0.102582158
"Age[20,60)",0.110462022,0.04893771
"Age[20,60)",0.121819528,0.040203804
"Age[20,60)",0.117201852,0.0813975
"Age[20,60)",0.114006955,0.067152722
"Age[20,60)",0.114893357,0.090425135
"Age[20,60)",0.15629247,0.118386832
"Age[20,60)",0.123632972,0.078216831
