AgeGroup,Overexpressed,Underexpressed
"Age[20,60)",0.132592603,0.018963253
"Age[20,60)",0.098257743,0.044533048
"Age[20,60)",0.096399785,0.025491939
"Age[20,60)",0.059723806,-0.010832758
"Age[20,60)",0.082604368,0.016851124
"Age[20,60)",0.064341885,0.005525277
"Age[20,60)",0.106304898,0.010021532
"Age[20,60)",0.168624083,-0.016181416
"Age[20,60)",0.108419395,0.00236031
"Age[20,60)",0.177279906,0.003094394
"Age[20,60)",0.131847937,0.002581265
"Age[20,60)",0.130073665,0.010393257
"Age[20,60)",0.073569588,0.043500794
"Age[20,60)",0.094281315,-0.009977628
"Age[20,60)",0.133418254,-0.00099327
"Age[20,60)",0.113152833,0.015109542
"Age[20,60)",0.086050241,0.041950361
"Age[20,60)",0.084475591,0.017533879
"Age[20,60)",0.062448387,0.007060476
"Age[20,60)",0.121099915,0.019591141
"Age[20,60)",0.171852132,0.030143666
"Age[20,60)",0.130316873,0.002780399
"Age[20,60)",0.064944948,0.040509149
"Age[20,60)",0.054641084,0.017710634
"Age[20,60)",0.113731664,-0.014360894
"Age[20,60)",0.119471638,0.007519799
"Age[20,60)",0.105231194,0.004365731
"Age[20,60)",0.110829733,-0.008998732
"Age[20,60)",0.099794826,-0.00360249
"Age[20,60)",0.140085746,0.001224884
"Age[20,60)",0.050486589,0.041020015
"Age[20,60)",0.074805632,-0.007719031
"Age[20,60)",0.158406213,0.049920337
"Age[20,60)",0.095684751,0.034471164
"Age[20,60)",0.060765617,0.020497696
"Age[20,60)",0.085718329,0.03904924
"Age[20,60)",0.115166436,0.054417649
"Age[20,60)",0.102450614,0.010374928
"Age[20,60)",0.086791506,0.040768271
"Age[20,60)",0.050692998,0.028784156
"Age[20,60)",0.085016348,0.041935514
"Age[20,60)",0.106316501,0.045207276
"Age[20,60)",0.130819375,0.007937668
"Age[20,60)",0.160110935,0.012328272
"Age[20,60)",0.205090427,0.021324239
"Age[20,60)",0.186174351,0.022748376
"Age[20,60)",0.136812907,-0.003553056
"Age[20,60)",0.149982507,0.012064127
"Age[20,60)",0.049653266,0.019684446
"Age[20,60)",0.132285796,0.007947149
"Age[20,60)",0.096154324,0.022657269
"Age[20,60)",0.097601098,-0.005279118
"Age[20,60)",0.121126458,0.026833491
"Age[20,60)",0.085784351,0.007666461
"Age[20,60)",0.100732635,0.002274378
"Age[20,60)",0.073787075,0.01323029
"Age[20,60)",0.141645835,0.022837714
"Age[20,60)",0.074740136,0.020686703
"Age[20,60)",0.135621207,0.017795482
"Age[20,60)",0.117571061,0.01533619
"Age[20,60)",0.074298813,0.010291213
"Age[20,60)",0.141141245,-0.000959063
"Age[20,60)",0.089912067,0.04484808
"Age[20,60)",0.107801197,0.019543879
"Age[20,60)",0.02964835,0.004095856
"Age[20,60)",0.089361984,0.035228064
"Age[20,60)",0.114017688,0.028485181
"Age[20,60)",0.08267438,0.02635023
"Age[20,60)",0.078103724,0.044850995
"Age[20,60)",0.141556262,0.041095467
"Age[20,60)",0.067666607,-0.004011593
"Age[20,60)",0.110855032,-0.019077583
"Age[20,60)",0.085573989,-0.009105538
"Age[20,60)",0.192044043,0.006937828
"Age[20,60)",0.10774949,-0.011135131
"Age[20,60)",0.061496897,0.032983728
"Age[20,60)",0.101655454,0.011285701
"Age[20,60)",0.141153055,0.019116272
"Age[20,60)",0.170112533,0.017119807
"Age[20,60)",0.146060198,0.013859048
"Age[20,60)",0.145628892,0.023613326
"Age[20,60)",0.120520219,0.029393502
"Age[20,60)",0.113405205,0.048672342
"Age[20,60)",0.118933457,0.037962509
"Age[20,60)",0.151250622,0.014418152
"Age[20,60)",0.106737052,0.061285023
"Age[20,60)",0.110926698,0.055875315
"Age[20,60)",0.059949484,0.026278693
"Age[20,60)",0.102155565,-0.00072346
"Age[20,60)",0.096933824,0.026167966
"Age[20,60)",0.096551043,0.034180853
"Age[20,60)",0.122258587,0.023708105
"Age[20,60)",0.105700988,0.048798001
"Age[20,60)",0.051884779,0.036771708
"Age[20,60)",0.112057843,-0.011273017
"Age[20,60)",0.090557264,0.007017187
"Age[20,60)",0.100362043,0.064475032
"Age[20,60)",0.093671784,0.024864436
"Age[20,60)",0.102843553,0.072054966
"Age[20,60)",0.091728531,0.023933889
"Age[20,60)",0.121595074,0.060351534
"Age[20,60)",0.052507702,0.027626214
"Age[20,60)",0.181967907,0.031373246
"Age[20,60)",0.116423832,0.023912885
"Age[20,60)",0.156554739,0.059296931
"Age[20,60)",0.145371662,0.053662999
"Age[20,60)",0.130625425,0.013401743
"Age[20,60)",0.149778788,0.032636697
"Age[20,60)",0.09089026,0.025062002
"Age[20,60)",0.151300276,0.035262491
"Age[20,60)",0.088765421,0.024346114
"Age[20,60)",0.069842595,0.049730018
"Age[20,60)",0.144407027,0.030128685
"Age[20,60)",0.131692526,0.048527332
"Age[20,60)",0.143067035,0.008139059
"Age[20,60)",0.114203777,0.013308997
"Age[20,60)",0.107977699,0.033715846
"Age[20,60)",0.163831318,-0.00214226
"Age[20,60)",0.115344837,0.029554885
"Age[20,60)",0.11078147,0.05223878
"Age[20,60)",0.129131521,0.019925902
"Age[20,60)",0.0925102,0.049593039
"Age[20,60)",0.141686725,0.007480595
"Age[20,60)",0.1652074,0.051945193
"Age[20,60)",0.171394035,0.063624555
"Age[20,60)",0.105909518,0.021551522
"Age[20,60)",0.078892312,-0.005792973
"Age[20,60)",0.118361928,0.058444059
"Age[20,60)",0.112762759,0.009191756
"Age[20,60)",0.081140588,0.057507899
"Age[20,60)",0.093030138,0.012095174
"Age[20,60)",0.123155751,0.047838698
"Age[20,60)",0.126169184,0.002780578
"Age[20,60)",0.07648564,0.043264727
"Age[20,60)",0.088521205,0.0448198
"Age[20,60)",0.135160513,0.019362494
"Age[20,60)",0.168927402,0.029217586
"Age[20,60)",0.124082798,0.017524081
"Age[20,60)",0.108557452,0.014375251
"Age[20,60)",0.096559606,0.060157639
"Age[20,60)",0.125455071,-0.006070383
"Age[20,60)",0.104036595,0.008816954
"Age[20,60)",0.100527521,0.0324835
"Age[20,60)",0.101405875,0.050502545
"Age[20,60)",0.124951759,0.015237748
"Age[20,60)",0.083141769,0.018181763
"Age[20,60)",0.106113037,0.008064473
"Age[20,60)",0.042169031,-0.006075588
"Age[20,60)",0.13001305,-0.010283801
"Age[20,60)",0.092020941,0.004231695
"Age[20,60)",0.119079986,0.005841442
"Age[20,60)",0.126645662,0.022614935
"Age[60,90)",0.124633162,-0.02929253
"Age[60,90)",0.085410499,0.00104058
"Age[60,90)",0.156182781,-0.004003622
"Age[60,90)",0.142728568,-0.009628758
"Age[60,90)",0.121845395,0.022420337
"Age[60,90)",0.12838028,-0.001150345
"Age[60,90)",0.12765367,0.007474421
"Age[60,90)",0.082785351,0.009185844
"Age[60,90)",0.123747579,-0.021706581
"Age[60,90)",0.109088484,-0.017415644
"Age[60,90)",0.164816395,-0.043574645
"Age[20,60)",0.140075201,0.046240879
"Age[20,60)",0.073480429,-0.035694133
"Age[20,60)",0.137924348,0.03855008
"Age[20,60)",0.194592189,0.040660552
"Age[20,60)",0.120919356,0.048915065
"Age[20,60)",0.135349224,0.000893758
"Age[60,90)",0.160793532,0.007609106
"Age[60,90)",0.172052977,-0.012036923
"Age[60,90)",0.112807237,0.047940524
"Age[60,90)",0.19511178,0.032020345
"Age[60,90)",0.105828351,0.01073991
"Age[60,90)",0.155473618,0.014600782
"Age[60,90)",0.126998089,0.034432761
"Age[60,90)",0.149614023,0.02132726
"Age[60,90)",0.082551473,0.031120752
"Age[60,90)",0.135602053,-2.78E-05
"Age[60,90)",0.104273393,0.019167183
"Age[60,90)",0.109875945,0.006534266
"Age[60,90)",0.156614378,0.051999207
"Age[20,60)",0.208923905,0.021961649
"Age[20,60)",0.20146096,0.045057756
"Age[20,60)",0.133366057,0.003661041
"Age[20,60)",0.170518736,-0.012458794
"Age[20,60)",0.112623505,0.018229697
"Age[20,60)",0.173998719,-0.003566231
"Age[20,60)",0.122407794,-0.006115726
"Age[20,60)",0.117058322,0.024571315
"Age[20,60)",0.158048401,0.012912407
"Age[20,60)",0.172677722,-0.00633051
"Age[20,60)",0.151034848,-0.015367587
"Age[20,60)",0.179746839,0.021751782
"Age[20,60)",0.180365028,-0.014130362
"Age[20,60)",0.156306426,0.013324025
"Age[20,60)",0.223206482,0.041377052
"Age[20,60)",0.11726914,0.037915293
"Age[20,60)",0.102396512,0.017826741
"Age[20,60)",0.108651634,0.024654842
"Age[20,60)",0.093004487,0.03301425
"Age[20,60)",0.161561764,-0.007336173
"Age[20,60)",0.119956224,0.020391871
"Age[20,60)",0.1154513,0.007453244
"Age[20,60)",0.127433088,0.045729138
"Age[20,60)",0.213741322,0.01644047
"Age[20,60)",0.117152542,0.009187389
"Age[20,60)",0.106554347,0.028023959
"Age[20,60)",0.08781134,0.010937198
"Age[20,60)",0.165409761,0.036619336
"Age[20,60)",0.133312407,-0.014060269
"Age[20,60)",0.088664904,0.00885079
"Age[20,60)",0.107238592,0.028089019
"Age[20,60)",0.120199591,0.017800943
"Age[20,60)",0.099359805,0.040780239
"Age[20,60)",0.120688541,0.040646187
"Age[20,60)",0.068560616,-0.021395677
"Age[20,60)",0.118971291,0.03342275
"Age[20,60)",0.075706582,0.018238747
"Age[20,60)",0.125172607,0.033016267
"Age[20,60)",0.049501337,0.004861003
"Age[20,60)",0.102162232,-0.003185547
"Age[20,60)",0.06333345,-0.003322236
"Age[20,60)",0.08471816,-0.009282293
"Age[20,60)",0.05469331,0.0151316
"Age[20,60)",0.107633448,0.019489807
"Age[20,60)",0.089542245,0.006647344
"Age[20,60)",0.175237573,-0.02567644
"Age[20,60)",0.080646399,-0.012315829
"Age[20,60)",0.070136712,-0.009067438
"Age[20,60)",0.022187869,0.020839602
"Age[20,60)",0.114027541,0.042297898
"Age[20,60)",0.120910402,0.012543165
"Age[20,60)",0.062857981,0.019197401
"Age[20,60)",0.132396753,0.02745673
"Age[20,60)",0.107898037,-0.009359567
"Age[20,60)",0.092273075,0.00365322
"Age[20,60)",0.055038759,-0.001732339
"Age[60,90)",0.138933115,0.004748508
"Age[60,90)",0.138765276,0.056547865
"Age[60,90)",0.109772077,0.024701192
"Age[60,90)",0.088698781,0.037877016
"Age[60,90)",0.150238132,0.016690608
