"","BER","DR","FA","HDR","MMR","NER","NHEJ","NP","Others","TLS"
"ActFB",0.00834137925096394,0.0199569663282973,-0.0280572496655698,-0.00744566161300048,0.016754278179425,-0.0216281019146008,-0.0244192030817551,-0.0775886202177097,0.0302633233562338,0.0119931756577962
"apCAF",-0.0191180236790115,-0.10206073944672,-0.0307058343725263,-0.00958313121325662,-0.014993330463629,0.0099420606372945,-0.0664386592520031,-0.0514030175647989,-0.0175153525533168,-0.0365462020188885
"CycFB",0.0202217960266418,-0.0758596059362341,-0.0176643283796864,0.00695802557330162,0.0428430370259276,0.0294164061927803,-0.0599360566247131,-0.0427548866717061,0.0113772689502299,-0.0313904533837459
"CytFB",-0.00792370141182808,-0.0313090696996129,-0.0297544417563708,-0.00930813393061023,0.0180020926844066,-0.0119357123374529,-0.00322285812487513,-0.00319243391317818,0.00116988274384094,-0.00655067925933681
"DerFB",-0.00691308017644648,-0.0899776918492225,-0.0195230718869446,-0.00869946451817075,-0.0150528162626364,-0.0175553362234737,0.00473808385935243,-0.0713349723060453,-0.00110125685423967,0.00889366217801574
"DevFB",-0.00906471573352707,-0.0700378446776421,-0.0380785542511094,-0.0278086320052811,-0.0259806785301759,-0.0460808388068324,-0.0219161838955949,-0.067902596104027,0.0554508030461183,0.00593617111874928
"EpiFB",0.0170654268901343,-0.0300332573299287,-0.0343052993622785,-0.0104742242404252,0.0360349237228699,-0.00124079290251969,-0.0106529534811063,-0.0875448829290476,0.0246272360521504,-0.0109308325113498
"FCC",-0.0244502402556389,-0.0321433757277102,-0.0195687355252722,-0.0146129753577202,-0.00649053777047751,-0.0253853206323701,-0.0376762221387775,-0.0583809490102735,-0.00480661834316565,-0.0278606315727258
"FCPC",-0.0168838971974565,-0.0853736203746265,-0.026333567407844,-0.0172261325668596,0.00246887066843603,-0.0265081058142315,-0.0147425028815189,-0.10253754435819,0.00282054748036664,-0.00390339920369584
"iCAF",-0.0192038616733486,-0.100901316522387,-0.015831441774207,-0.00354428856771572,-0.00527937030754936,0.0134694229930354,-0.0649662563552597,-0.0539417441237557,-0.0212295256060532,-0.0479471579569754
"LipFB",-0.00185685368099999,0.0013920487258029,-0.0309124545580402,-0.0176974118160722,0.0101041611681941,-0.0228398743875778,0.000670260444820881,-0.02937375026156,-0.014047305543919,-0.00632937548960941
"MetFB",-0.0308917069329809,-0.0230862870670845,-0.0167859389641252,-0.0235392693384279,-0.0127559009101274,-0.0360813805180653,-0.022807959539299,-0.0898630655522666,0.00488518018770273,-0.0174303374785287
"myoCAF",-0.0134410168972793,-0.089028800591675,-0.0285814640510762,-0.00713061232313005,0.00760099137330425,-0.00892382412426403,-0.0467443644095868,-0.0449292428816264,-0.010216780421024,-0.0276679356866615
"PapFB",-0.0130137625191366,-0.14859506467371,-0.00874652183793407,-0.00461502938210791,0.0319144458040309,0.00664194492956102,-0.0633859742277657,-0.076981900512157,-0.0379701155631248,-0.0292230106813503
"ProFB",0.0639376468379833,-0.0866374024638246,0.0325791700597257,0.0273455171809615,0.0640511781993936,0.0336222014950393,-0.000746562480035365,-0.040360740542637,0.0311372564378939,0.0116743977760076
"UniFB",-0.00794592904239561,-0.0909683454996609,-0.00531623372051498,0.000602186700014308,0.0126147469146167,0.0188941322825275,-0.050897542107703,-0.0652468684766842,-0.0176757028029198,-0.0421469532122884
