"Disease","CellType","CellNum"
"Abortion","ActFB",1119
"Cancer","ActFB",19
"Cerebrovascular Disease","ActFB",91
"Circulation Disease","ActFB",715
"Digestive Disease","ActFB",1
"Endocrine Disease","ActFB",1
"Head injury","ActFB",119
"Heart Failure","ActFB",0
"Nervous Disease","ActFB",0
"Normal","ActFB",88
"Respiratory Disease","ActFB",10692
"Urinary Disease","ActFB",1
"Abortion","apCAF",697
"Cancer","apCAF",132
"Cerebrovascular Disease","apCAF",1772
"Circulation Disease","apCAF",139
"Digestive Disease","apCAF",66
"Endocrine Disease","apCAF",7
"Head injury","apCAF",82
"Heart Failure","apCAF",3
"Nervous Disease","apCAF",0
"Normal","apCAF",212
"Respiratory Disease","apCAF",230
"Urinary Disease","apCAF",17
"Abortion","CycFB",14852
"Cancer","CycFB",151
"Cerebrovascular Disease","CycFB",180
"Circulation Disease","CycFB",87
"Digestive Disease","CycFB",1
"Endocrine Disease","CycFB",0
"Head injury","CycFB",40
"Heart Failure","CycFB",14
"Nervous Disease","CycFB",0
"Normal","CycFB",392
"Respiratory Disease","CycFB",4161
"Urinary Disease","CycFB",4
"Abortion","CytFB",0
"Cancer","CytFB",22
"Cerebrovascular Disease","CytFB",765
"Circulation Disease","CytFB",4874
"Digestive Disease","CytFB",0
"Endocrine Disease","CytFB",0
"Head injury","CytFB",380
"Heart Failure","CytFB",0
"Nervous Disease","CytFB",0
"Normal","CytFB",2775
"Respiratory Disease","CytFB",236
"Urinary Disease","CytFB",0
"Abortion","DerFB",713
"Cancer","DerFB",268
"Cerebrovascular Disease","DerFB",1658
"Circulation Disease","DerFB",2364
"Digestive Disease","DerFB",38
"Endocrine Disease","DerFB",0
"Head injury","DerFB",27
"Heart Failure","DerFB",0
"Nervous Disease","DerFB",0
"Normal","DerFB",315
"Respiratory Disease","DerFB",261
"Urinary Disease","DerFB",1
"Abortion","DevFB",143
"Cancer","DevFB",6
"Cerebrovascular Disease","DevFB",2224
"Circulation Disease","DevFB",17
"Digestive Disease","DevFB",0
"Endocrine Disease","DevFB",0
"Head injury","DevFB",1
"Heart Failure","DevFB",0
"Nervous Disease","DevFB",0
"Normal","DevFB",14
"Respiratory Disease","DevFB",296
"Urinary Disease","DevFB",0
"Abortion","EpiFB",1
"Cancer","EpiFB",0
"Cerebrovascular Disease","EpiFB",158
"Circulation Disease","EpiFB",66
"Digestive Disease","EpiFB",4
"Endocrine Disease","EpiFB",0
"Head injury","EpiFB",0
"Heart Failure","EpiFB",0
"Nervous Disease","EpiFB",0
"Normal","EpiFB",10
"Respiratory Disease","EpiFB",818
"Urinary Disease","EpiFB",0
"Abortion","FCC",0
"Cancer","FCC",371
"Cerebrovascular Disease","FCC",2980
"Circulation Disease","FCC",1579
"Digestive Disease","FCC",11
"Endocrine Disease","FCC",5
"Head injury","FCC",52
"Heart Failure","FCC",0
"Nervous Disease","FCC",1
"Normal","FCC",223
"Respiratory Disease","FCC",829
"Urinary Disease","FCC",0
"Abortion","FCPC",22
"Cancer","FCPC",256
"Cerebrovascular Disease","FCPC",748
"Circulation Disease","FCPC",1177
"Digestive Disease","FCPC",3
"Endocrine Disease","FCPC",3
"Head injury","FCPC",261
"Heart Failure","FCPC",1
"Nervous Disease","FCPC",0
"Normal","FCPC",1040
"Respiratory Disease","FCPC",1052
"Urinary Disease","FCPC",33
"Abortion","iCAF",64
"Cancer","iCAF",1341
"Cerebrovascular Disease","iCAF",6147
"Circulation Disease","iCAF",1787
"Digestive Disease","iCAF",728
"Endocrine Disease","iCAF",117
"Head injury","iCAF",1102
"Heart Failure","iCAF",72
"Nervous Disease","iCAF",2
"Normal","iCAF",6671
"Respiratory Disease","iCAF",2680
"Urinary Disease","iCAF",967
"Abortion","LipFB",1
"Cancer","LipFB",0
"Cerebrovascular Disease","LipFB",283
"Circulation Disease","LipFB",10264
"Digestive Disease","LipFB",0
"Endocrine Disease","LipFB",0
"Head injury","LipFB",875
"Heart Failure","LipFB",0
"Nervous Disease","LipFB",0
"Normal","LipFB",269
"Respiratory Disease","LipFB",262
"Urinary Disease","LipFB",0
"Abortion","MetFB",0
"Cancer","MetFB",34
"Cerebrovascular Disease","MetFB",1039
"Circulation Disease","MetFB",10718
"Digestive Disease","MetFB",3
"Endocrine Disease","MetFB",2
"Head injury","MetFB",39
"Heart Failure","MetFB",2
"Nervous Disease","MetFB",0
"Normal","MetFB",247
"Respiratory Disease","MetFB",38
"Urinary Disease","MetFB",45
"Abortion","myoCAF",10
"Cancer","myoCAF",891
"Cerebrovascular Disease","myoCAF",11343
"Circulation Disease","myoCAF",6240
"Digestive Disease","myoCAF",68
"Endocrine Disease","myoCAF",73
"Head injury","myoCAF",388
"Heart Failure","myoCAF",3
"Nervous Disease","myoCAF",1
"Normal","myoCAF",2757
"Respiratory Disease","myoCAF",725
"Urinary Disease","myoCAF",113
"Abortion","PapFB",0
"Cancer","PapFB",0
"Cerebrovascular Disease","PapFB",129
"Circulation Disease","PapFB",136
"Digestive Disease","PapFB",0
"Endocrine Disease","PapFB",0
"Head injury","PapFB",1
"Heart Failure","PapFB",0
"Nervous Disease","PapFB",0
"Normal","PapFB",706
"Respiratory Disease","PapFB",0
"Urinary Disease","PapFB",4
"Abortion","ProFB",471
"Cancer","ProFB",2
"Cerebrovascular Disease","ProFB",0
"Circulation Disease","ProFB",60
"Digestive Disease","ProFB",0
"Endocrine Disease","ProFB",0
"Head injury","ProFB",3
"Heart Failure","ProFB",0
"Nervous Disease","ProFB",0
"Normal","ProFB",5
"Respiratory Disease","ProFB",48
"Urinary Disease","ProFB",0
"Abortion","UniFB",1259
"Cancer","UniFB",5489
"Cerebrovascular Disease","UniFB",1354
"Circulation Disease","UniFB",1529
"Digestive Disease","UniFB",21
"Endocrine Disease","UniFB",30
"Head injury","UniFB",3015
"Heart Failure","UniFB",129
"Nervous Disease","UniFB",0
"Normal","UniFB",14173
"Respiratory Disease","UniFB",263
"Urinary Disease","UniFB",89
